ID	EN	Example or notes
gallery_bg_ending_hunter_nb	hunter	
gallery_bg_ending_lawyer_f	lawyer	
gallery_bg_ending_lawyer_m	lawyer	
gallery_bg_ending_lawyer_nb	lawyer	
gallery_bg_ending_merchant_f	merchant	
gallery_bg_ending_merchant_m	merchant	
gallery_bg_ending_merchant_nb	merchant	
gallery_bg_ending_novelist_f	novelist	
gallery_bg_ending_novelist_m	novelist	
gallery_bg_ending_novelist_nb	novelist	
gallery_bg_ending_parent_f	parent	
gallery_bg_ending_parent_m	parent	
gallery_bg_ending_parent_nb	parent	
gallery_bg_ending_professor_f	professor	
gallery_bg_ending_professor_m	professor	
gallery_bg_ending_professor_nb	professor	
gallery_bg_ending_rancher_f	rancher	
gallery_bg_ending_rancher_m	rancher	
gallery_bg_ending_rancher_nb	rancher	
gallery_bg_ending_rebel_f	rebel	
gallery_bg_ending_rebel_m	rebel	
gallery_bg_ending_rebel_nb	rebel	
gallery_bg_ending_roboticist_f	roboticist	
gallery_bg_ending_roboticist_m	roboticist	
gallery_bg_ending_roboticist_nb	roboticist	
gallery_bg_ending_special_bomb	ran away	
gallery_bg_ending_special_colonydestroyed	colony destroyed	
gallery_bg_ending_special_destroygardeners	disabled the array	
gallery_bg_ending_special_earth	life on earth	
gallery_bg_ending_special_joingardeners	joined the gardeners	
gallery_bg_ending_special_shipdestroyed	strato destroyed	
gallery_bg_ending_special_timelord	transcended time	
gallery_bg_ending_special_virus	tangent's cure	
		
		
		
gearPane_empty	Locked\n(Need Perk)	
fillbar_perk	{1} Perk: {2}	Shop Clothes Perk: New cards in the depot
fillbar_skill_boosted	{1} boosted from status: {2}	Mental boosted from status: Enlightened
fillbar_skill_reduced	{1} reduced from status: {2}	
fillbar_skill_iconTitle	{1} Skills	Mental Skills
		
intro_title_enhancement	Enhancement	
intro_title_friend	Childhood Friend	
intro_title_cards	Memories	
		
		
		
hotkey_interact	Interact	
hotkey_cancel	Cancel	
hotkey_submitInput	Submit Text	
hotkey_toolbar	Toolbar	
hotkey_system	System	
hotkey_friends	Friends	
hotkey_cards	Cards	
hotkey_skills	Skills	
hotkey_home	Home	
hotkey_moveUp	Move Up	
hotkey_moveDown	Move Down	
hotkey_moveLeft	Move Left	
hotkey_moveRight	Move Right	
hotkey_guiUp	UI Up	
hotkey_guiDown	UI Down	
hotkey_guiLeft	UI Left	
hotkey_guiRight	UI Right	
hotkey_tabLeft	UI Tab Left	
hotkey_tabRight	UI Tab Right	
hotkey_scrollUp	Scroll Up	
hotkey_scrollDown	Scroll Down	
hotkey_scrollLeft	Scroll Left	
hotkey_scrollRight	ScrollRight	
hotkey_choice1	Choice #1	
hotkey_choice2	Choice #2	
hotkey_choice3	Choice #3	
hotkey_choice4	Choice #4	
hotkey_choice5	Choice #5	
hotkey_choice6	Choice #6	
hotkey_choice7	Choice #7	
hotkey_choice8	Choice #8	
hotkey_choice9	Choice #9	
settings_resetAllControls	Reset All Controls	
settings_customPronouns	Custom Pronouns	
settings_resetAll	Reset All	
settings_pronounsTitle	Use these buttons to replace the entries below, or customize them individually.	
settings_pronounsSingular	Autofill with {1} (Singular: {2} is)	
settings_pronounsPlural	Autofill with {1} (Plural: {2} are)	
settings_pronounsBase	they|she|he	For autofilling custom pronouns, not sure if/how this will work
settings_pronounsThey	they	
settings_pronounsShe	she	
		
setting_disableTutorialMessages	Disable Tutorial Messages	
setting_harderCardChallenges	Harder Card Challenges	
setting_skipCardChallenges	Skip Card Challenges	
setting_skipSeenText	Skip Seen Text	
setting_sortDrawnCards	Sort Drawn Cards	
setting_runInBackground	Run In Background	
setting_hardwareMouseCursor	Hardware Mouse Cursor	
setting_resolution	Resolution	
setting_fullscreenMode	Fullscreen Mode	
setting_quality	Quality	
setting_textureQuality	Texture Quality	
setting_antiAliasing	Anti Aliasing	
setting_vSyncCount	VSync Count	
setting_menuTransparency	Menu Transparency	
setting_biggerMenus	Bigger Menus	
setting_disableScreenShake	Disable Screen Shake	
setting_onlyShowEquippedPets	Only Show Equipped Pets	
setting_terrainEffects	Terrain Effects	
setting_waterEffects	Water Effects	
setting_weatherEffects	Weather Effects	
setting_showGamepadGlyphs	Show Gamepad Glyphs	
setting_volumeMaster	Master	
setting_volumeMusic	Music	
setting_volumeAmbient	Ambient	
setting_volumeUI	UI	
setting_volumeEffects	Effects	
setting_volumeFootsteps	Footsteps	
setting_volumeVibrationIntensity	Vibration Intensity	
setting_constantMusic	Constant Music	
setting_splodeMode	Splode Mode	
setting_allChoices	All Choices	
setting_allTextChunks	All Text Chunks	
setting_disableBattlesChoose	Disable Battles Choose	
setting_autoloadSave	Autoload Save	
setting_autoStartBattle	Auto Start Battle	
setting_autoplayStories	Autoplay Stories	
setting_logProdToConsole	Log Prod To Console	
setting_extraBiggerFonts	Extra Bigger Fonts	
setting_fastMode	Fast Mode	
setting_disableCameraRectScalingWin	Disable Camera Rect Scaling Win	
setting_forceCameraRectScalingMac	Force Camera Rect Scaling Mac	
setting_skipMonthMenu	Skip Month Menu	
setting_turboTimeScale	Turbo Time Scale	
setting_disableCheevos	Disable Cheevos	
setting_hideConsoleLog	Hide Console Log	
setting_showQualityOnConsoles	Show Quality On Consoles	
setting_forceSteamDeck	Force Steam Deck	
setting_tradeShowMode	Trade Show Mode	
setting_textureQuality_half	Half Res	
setting_textureQuality_quarter	Quarter Res	
setting_textureQuality_eighth	Eighth Res	
setting_textureQuality_full	Full Res	
setting_antiAliasing_disabled	Disabled	
setting_antiAliasing_sampling	{1}x Multi Sampling	2x Multi Sampling
setting_vSyncCount_every	Every V Blank	
setting_vSyncCount_second	Every Second V Blank	
setting_vSyncCount_none	Don't Sync	
settings_resetConfirm	Sure you want to reset all bindings to default?	
settings_resetDone	Controls Reset.	
settings_resetBindings	Sure you want to reset ALL settings and bindings?	
settings_resetSettings	Settings Reset.	
settings_quality_very_low	very low	
settings_quality_low	low	
settings_quality_medium	medium	
settings_quality_high	high	
settings_quality_very_high	very high	
settings_quality_ultra	ultra	
settings_fullscreen_exclusivefullscreen	exclusive_full_screen	
settings_fullscreen_fullscreenwindow	full screen window	
settings_fullscreen_windowed	windowed	
settings_fullscreen_maximizedwindow	maximized window	
		
settings_resetAllSettings	Reset All Settings	
settings_mods	Mods	
settings_modsNone	No mods found - visit Steam Workshop to install mods and language packs	
settings_modsRestartRequired	Restart the game for mod changes to take effect.	
settings_modNotReady	[not ready / downloading...]	
		
button_next_month	Next Month	
button_submit	Submit	
button_mods	Mods	
button_home_battle	Can't return home during a battle	
button_home_event	Can't return home during an event	
button_home_return	Return to the colony	
		
winlose_mourning	Mourning	
winlose_relaxing	Relaxing!	
winlose_monthoff	You took the month off	
winlose_back	You're back!	
winlose_exploring	You spent the month exploring	
winlose_workedwell	You worked well\nthis month! (+1 {1})	You worked well this month! (+1 empathy)
winlose_lowskill	{1} skill too low	Empathy skill too low
winlose_workedbad	You didn't work very well\nthis month...	
		
month_gameend	Game ends at end of Age 19	
